"","URN","Local.authority","Region","Sector_merge","Places","Organisation","Registration.date","overspend_category","outsourcing_category","new_LA_places","new_LA_homes","matched"
"29","2612347","NOTTINGHAMSHIRE","East Midlands","Individual owned",2,"Abbey Green Therapeutic Children's Services Ltd","17/05/2021",NA,"high-outsourcing",2,1,1
"30","2613627","CALDERDALE","Yorkshire and The Humber","Corporate owned",1,"Hexagon Care Services Ltd","23/12/2020","high-overspend",NA,3,1,1
"31","2619265","LANCASHIRE","North West","Individual owned",2,"Coastal Quality Care Ltd","09/02/2021","low-overspend",NA,6,1,1
"32","2623962","DURHAM","North East","Local Authority",3,"Durham County Council","01/03/2021",NA,"low-outsourcing",15,6,1
"33","2624223","HARTLEPOOL","North East","Investment owned",9,"Huntercombe Young People Ltd","04/03/2021",NA,"low-outsourcing",6,2,1
"34","2624723","DORSET","South West","Local Authority",1,"Dorset Council","08/03/2021","high-overspend",NA,10,4,1
"35","2630934","DERBYSHIRE","East Midlands","Investment owned",5,"Aspris Children's Services Limited","05/03/2021","high-overspend",NA,5,2,1
"36","2633617","DERBYSHIRE","East Midlands","Investment owned",2,"Cambian Childcare Limited","24/05/2021","high-overspend",NA,5,2,1
"37","2634397","LANCASHIRE","North West","Individual owned",1,"XYP Childcare Limited","27/03/2021","low-overspend",NA,6,1,1
"38","2635062","LINCOLNSHIRE","East Midlands","Investment owned",3,"Esland North Limited","20/05/2021","low-overspend","low-outsourcing",17,3,1
"39","2636743","HARINGEY","London","Individual owned",3,"Family First Care Services Ltd","08/07/2021","high-overspend",NA,6,1,1
"40","2638487","LANCASHIRE","North West","Individual owned",4,"New Horizons nw ltd","01/07/2021","low-overspend",NA,6,1,1
"41","SC001531","LEEDS","Yorkshire and The Humber","Third sector",7,"Catholic Care (Diocese of Leeds)","01/04/2002",NA,"low-outsourcing",4,1,1
"42","SC010090","LANCASHIRE","North West","Investment owned",4,"Partners in Care Limited","21/12/2001","low-overspend",NA,6,1,1
"43","SC020611","SHROPSHIRE","West Midlands","Investment owned",3,"Keys Nhcc Ltd","06/08/2001","high-overspend",NA,8,4,1
"44","SC028526","EAST SUSSEX","South East","Corporate owned",2,"Anderida Adolescent Care Ltd","01/05/2002","high-overspend",NA,5,1,1
"45","SC028536","EAST SUSSEX","South East","Corporate owned",2,"Anderida Adolescent Care Ltd","01/05/2002","high-overspend",NA,5,1,1
"46","SC031220","CALDERDALE","Yorkshire and The Humber","Investment owned",6,"Compass Childrens Homes Limited","24/09/2002","high-overspend",NA,3,1,1
"47","SC033657","LEEDS","Yorkshire and The Humber","Local Authority",5,"Leeds City Council","10/07/2003",NA,"low-outsourcing",4,1,1
"48","SC034944","LANCASHIRE","North West","Investment owned",4,"Keys Child Care Limited","06/03/2003","low-overspend",NA,6,1,1
"49","SC035155","CALDERDALE","Yorkshire and The Humber","Local Authority",7,"Calderdale Metropolitan Borough Council","09/09/2003","high-overspend",NA,3,1,1
"50","SC035439","LANCASHIRE","North West","Local Authority",6,"Lancashire County Council","03/11/2003","low-overspend",NA,6,1,1
"51","SC036186","DERBYSHIRE","East Midlands","Local Authority",8,"Derbyshire County Council","11/12/2003","high-overspend",NA,5,2,1
"52","SC042978","LINCOLNSHIRE","East Midlands","Local Authority",5,"Lincolnshire County Council","24/11/2003","low-overspend","low-outsourcing",17,3,1
"53","SC059180","DURHAM","North East","Investment owned",5,"Cambian Childcare Limited","31/03/2004",NA,"low-outsourcing",15,6,1
"54","SC059753","WILTSHIRE","South West","Corporate owned",2,"Five Rivers Child Care Limited","03/02/2004","low-overspend",NA,3,1,1
"55","SC068179","EAST SUSSEX","South East","Local Authority",4,"East Sussex County Council","25/08/2006","high-overspend",NA,5,1,1
"56","SC069474","EAST SUSSEX","South East","Corporate owned",3,"Anderida Adolescent Care Ltd","12/03/2007","high-overspend",NA,5,1,1
"57","SC358349","CALDERDALE","Yorkshire and The Humber","Corporate owned",1,"Time-Out Childrens Homes Limited","26/03/2007","high-overspend",NA,3,1,1
"58","SC366090","SHROPSHIRE","West Midlands","Investment owned",2,"Reflexion Care Group Limited","07/01/2008","high-overspend",NA,8,4,1
"59","SC380956","NORTH EAST LINCOLNSHIRE","Yorkshire and The Humber","Local Authority",3,"North East Lincolnshire Council","29/05/2009","high-overspend",NA,8,2,1
"60","SC381522","NOTTINGHAMSHIRE","East Midlands","Individual owned",3,"East Midlands Care Matters Limited","06/10/2008",NA,"high-outsourcing",2,1,1
"61","SC406505","LEEDS","Yorkshire and The Humber","Local Authority",12,"Leeds City Council","02/02/2010",NA,"low-outsourcing",4,1,1
"62","SC418605","DURHAM","North East","Individual owned",3,"Pear Tree Projects Limited","21/02/2011",NA,"low-outsourcing",15,6,1
"63","SC436469","DERBYSHIRE","East Midlands","Individual owned",3,"Blue Mountain Homes Ltd","06/10/2011","high-overspend",NA,5,2,1
"64","SC440309","LANCASHIRE","North West","Local Authority",6,"Lancashire County Council","04/01/2012","low-overspend",NA,6,1,1
"65","SC454647","SHROPSHIRE","West Midlands","Investment owned",4,"Cambian Childcare Limited","12/11/2012","high-overspend",NA,8,4,1
"66","SC460973","SHROPSHIRE","West Midlands","Investment owned",3,"Reflexion Care Group Limited","24/04/2013","high-overspend",NA,8,4,1
"67","SC464809","LANCASHIRE","North West","Investment owned",5,"ROC Northwest Limited ","25/06/2013","low-overspend",NA,6,1,1
"68","SC465079","MIDDLESBROUGH","North East","Investment owned",1,"Cambian Childcare Limited","08/07/2013","high-overspend",NA,6,2,1
"69","SC472381","MIDDLESBROUGH","North East","Local Authority",3,"Middlesbrough Borough Council","03/01/2014","high-overspend",NA,6,2,1
"70","SC472392","MIDDLESBROUGH","North East","Local Authority",4,"Middlesbrough Borough Council","03/01/2014","high-overspend",NA,6,2,1
"71","SC476236","SHROPSHIRE","West Midlands","Investment owned",4,"Cambian Childcare Limited","24/04/2014","high-overspend",NA,8,4,1
"72","SC476267","SHROPSHIRE","West Midlands","Investment owned",5,"Cambian Childcare Limited","06/03/2014","high-overspend",NA,8,4,1
"73","SC476271","SHROPSHIRE","West Midlands","Investment owned",5,"Cambian Childcare Limited","09/03/2014","high-overspend",NA,8,4,1
"74","SC480240","LANCASHIRE","North West","Corporate owned",7,"Hexagon Care Services Ltd","23/10/2014","low-overspend",NA,6,1,1
"75","SC480318","SHROPSHIRE","West Midlands","Investment owned",4,"Bryn Melyn Care Limited","26/08/2014","high-overspend",NA,8,4,1
"76","SC481015","CAMBRIDGESHIRE","East of England","Corporate owned",6,"Unique Care Homes Support Limited","08/10/2014","low-overspend",NA,17,3,1
"77","SC488679","LEEDS","Yorkshire and The Humber","Local Authority",4,"Leeds City Council","10/04/2015",NA,"low-outsourcing",4,1,1
"78","2612735","CALDERDALE","Yorkshire and The Humber","Corporate owned",2,"Time-Out Childrens Homes Limited","20/12/2020","high-overspend",NA,3,1,1
"79","SC428895","LEEDS","Yorkshire and The Humber","Investment owned",3,"Cambian Childcare Ltd","17/06/2011",NA,"low-outsourcing",4,1,1
"80","2615326","DURHAM","North East","Individual owned",3,"VITA NOVA NE LTD","12/01/2021",NA,"low-outsourcing",15,6,1
"81","2616605","LANCASHIRE","North West","Investment owned",6,"Compass Childrens Homes Ltd","31/03/2021","low-overspend",NA,6,1,1
"82","2616704","DERBYSHIRE","East Midlands","Individual owned",3,"Rite Directions Ltd","18/02/2021","high-overspend",NA,5,2,1
"83","2679026","DERBYSHIRE","East Midlands","Corporate owned",4,"Care 4 Every Child Ltd","28/06/2022","high-overspend",NA,5,2,1
"84","2660470","DERBYSHIRE","East Midlands","Corporate owned",3,"My House Calow Ltd","03/12/2021","high-overspend",NA,5,2,1
"85","2663221","LANCASHIRE","North West","Individual owned",2,"Holywell Children's Services Limited","31/01/2022","low-overspend",NA,6,1,1
"86","2505378","LINCOLNSHIRE","East Midlands","Investment owned",3,"Esland North Limited","19/01/2019","low-overspend","low-outsourcing",17,3,1
"87","1269421","DERBYSHIRE","East Midlands","Investment owned",3,"Aspris Children's Services Limited","23/01/2018","high-overspend",NA,5,2,1
"88","1270767","NOTTINGHAMSHIRE","East Midlands","Third sector",4,"K & G Care Ltd","16/02/2018",NA,"high-outsourcing",2,1,1
"89","SC443959","LANCASHIRE","North West","Investment owned",8,"Aspris New Education Services Limited","03/05/2012","low-overspend",NA,6,1,1
"90","SC442401","LANCASHIRE","North West","Investment owned",5,"ROC Northwest Limited ","15/03/2012","low-overspend",NA,6,1,1
"91","SC475697","LANCASHIRE","North West","Investment owned",7,"Witherslack Group Ltd","08/05/2014","low-overspend",NA,6,1,1
"92","SC483692","LANCASHIRE","North West","Investment owned",4,"ROC Northwest Limited ","03/12/2014","low-overspend",NA,6,1,1
"93","1276010","SHROPSHIRE","West Midlands","Investment owned",3,"Bryn Melyn Care Limited","14/05/2018","high-overspend",NA,8,4,1
"94","1277497","LANCASHIRE","North West","Individual owned",4,"Hopscotch Care Ltd","15/06/2018","low-overspend",NA,6,1,1
"95","2585407","SHROPSHIRE","West Midlands","Investment owned",4,"Physis Quantum Limited","09/07/2020","high-overspend",NA,8,4,1
"96","2594985","LANCASHIRE","North West","Individual owned",4,"New Horizons (NW) Ltd","03/08/2020","low-overspend",NA,6,1,1
"97","SC044224","LANCASHIRE","North West","Investment owned",4,"Progress Care and Education Limited","10/10/2003","low-overspend",NA,6,1,1
"98","2595983","LANCASHIRE","North West","Investment owned",6,"Keys QTC Limited","25/08/2020","low-overspend",NA,6,1,1
"99","2602558","GATESHEAD","North East","Individual owned",6,"Enhanced Young Person's Care LTD","17/11/2020",NA,"low-outsourcing",9,2,1
"100","2602585","LANCASHIRE","North West","Investment owned",3,"Next Stage 4Life LTD","18/09/2020","low-overspend",NA,6,1,1
"101","SC412979","LANCASHIRE","North West","Investment owned",4,"Aspris New Education Services Limited","08/07/2010","low-overspend",NA,6,1,1
"102","SC475680","LANCASHIRE","North West","Investment owned",8,"Witherslack Group Ltd","08/05/2014","low-overspend",NA,6,1,1
"103","SC476512","REDCAR AND CLEVELAND","North East","Individual owned",5,"Highfield (North East) Limited","03/06/2014","high-overspend","low-outsourcing",6,1,1
"104","2586949","LANCASHIRE","North West","Investment owned",3,"Horizon Care and Education Group Limited","30/04/2020","low-overspend",NA,6,1,1
"105","SC488439","SHROPSHIRE","West Midlands","Investment owned",3,"Keys Education Ltd","27/02/2015","high-overspend",NA,8,4,1
"106","SC033127","NORTH EAST LINCOLNSHIRE","Yorkshire and The Humber","Local Authority",11,"North East Lincolnshire Council","20/01/2004","high-overspend",NA,8,2,1
"107","SC472374","MIDDLESBROUGH","North East","Local Authority",4,"Middlesbrough Borough Council","03/01/2014","high-overspend",NA,6,2,1
"108","2537801","LANCASHIRE","North West","Corporate owned",3,"Exceptional Care Limited","13/09/2019","low-overspend",NA,6,1,1
"109","2677057","SHROPSHIRE","West Midlands","Investment owned",14,"Reflexion Care Group Limited","13/09/2022","high-overspend",NA,8,4,1
"110","SC470224","LANCASHIRE","North West","Corporate owned",10,"Halliwell Homes Limited","11/11/2013","low-overspend",NA,6,1,1
"111","SC009651","LANCASHIRE","North West","Investment owned",4,"Keys Child Care Ltd","08/02/1996","low-overspend",NA,6,1,1
"112","SC047978","NOTTINGHAMSHIRE","East Midlands","Individual owned",5,"Blue Mountain Homes Ltd","27/06/2003",NA,"high-outsourcing",2,1,1
"113","SC051513","DERBYSHIRE","East Midlands","Local Authority",4,"Nottinghamshire County Council","02/02/2004","high-overspend",NA,5,2,1
"114","SC423407","DURHAM","North East","Investment owned",8,"Keys Care Limited","28/01/2011",NA,"low-outsourcing",15,6,1
"115","SC069618","NORTH EAST LINCOLNSHIRE","Yorkshire and The Humber","Local Authority",1,"North East Lincolnshire Council","12/03/2007","high-overspend",NA,8,2,1
"116","SC473699","LINCOLNSHIRE","East Midlands","Corporate owned",4,"Unique Care Homes Support Limited","17/03/2014","low-overspend","low-outsourcing",17,3,1
"117","SC474041","SHROPSHIRE","West Midlands","Investment owned",2,"Keys Nhcc Ltd","30/04/2014","high-overspend",NA,8,4,1
"118","SC475748","LANCASHIRE","North West","Investment owned",7,"Witherslack Group Ltd","30/06/2014","low-overspend",NA,6,1,1
"119","SC020151","DERBYSHIRE","East Midlands","Individual owned",8,"Country Care Childrens Homes Ltd","26/08/1999","high-overspend",NA,5,2,1
"120","SC441513","DERBYSHIRE","East Midlands","Local Authority",6,"Derbyshire County Council","02/02/2012","high-overspend",NA,5,2,1
"121","2660433","MEDWAY","South East","Investment owned",5,"Prime Calibre Care Group Ltd","15/12/2021",NA,"high-outsourcing",6,1,1
"122","2547761","LANCASHIRE","North West","Corporate owned",3,"Cherish Childrens Care Ltd","09/02/2020","low-overspend",NA,6,1,1
"123","2550015","LANCASHIRE","North West","Investment owned",2,"Sandcastle Care Ltd","04/11/2019","low-overspend",NA,6,1,1
"124","2652918","SHROPSHIRE","West Midlands","Individual owned",3,"Positive Outcomes Childcare Limited","12/05/2022","high-overspend",NA,8,4,1
"125","SC421197","LANCASHIRE","North West","Individual owned",4,"ABC Care and Education Ltd","06/01/2011","low-overspend",NA,6,1,1
"126","2633026","NOTTINGHAMSHIRE","East Midlands","Individual owned",1,"Truly Care Services Ltd","06/08/2021",NA,"high-outsourcing",2,1,1
"127","2534102","DURHAM","North East","Corporate owned",4,"Impact Childcare and Education Ltd ","01/08/2019",NA,"low-outsourcing",15,6,1
"128","2534696","NOTTINGHAMSHIRE","East Midlands","Corporate owned",2,"Homes 2 inspire","12/06/2019",NA,"high-outsourcing",2,1,1
"129","2534829","LANCASHIRE","North West","Corporate owned",2,"Nurture Childcare Services Ltd","23/08/2019","low-overspend",NA,6,1,1
"130","2528141","LANCASHIRE","North West","Individual owned",1,"Hopscotch Care Ltd","03/06/2019","low-overspend",NA,6,1,1
"131","2534179","LANCASHIRE","North West","Investment owned",2,"Next Stage 4Life LTD","20/06/2019","low-overspend",NA,6,1,1
"132","1236026","DURHAM","North East","Investment owned",4,"Cambian Childcare Ltd","07/05/2016",NA,"low-outsourcing",15,6,1
"133","1240883","LANCASHIRE","North West","Investment owned",3,"Your Chapter Holdings Limited","18/08/2016","low-overspend",NA,6,1,1
"134","1234317","CALDERDALE","Yorkshire and The Humber","Investment owned",6,"Your Chapter LTD","04/08/2016","high-overspend",NA,3,1,1
"135","1271998","LANCASHIRE","North West","Investment owned",3,"Your Chapter LTD","23/05/2018","low-overspend",NA,6,1,1
"136","1272220","REDCAR AND CLEVELAND","North East","Individual owned",2,"Tees-Valley Care Limited","09/05/2018","high-overspend","low-outsourcing",6,1,1
"137","2586969","NOTTINGHAMSHIRE","East Midlands","Individual owned",1,"Footsteps to Futures Limited","23/04/2020",NA,"high-outsourcing",2,1,1
"138","2674792","EAST SUSSEX","South East","Local Authority",5,"East Sussex County Council","04/05/2022","high-overspend",NA,5,1,1
"139","2675155","BARNET","London","Individual owned",5,"Seva Childcare Ltd","19/07/2022",NA,"high-outsourcing",6,1,1
"140","2676352","LANCASHIRE","North West","Individual owned",3,"Lonsdale Care Ltd","13/05/2022","low-overspend",NA,6,1,1
"141","2679574","LANCASHIRE","North West","Investment owned",3,"Northridge Care Group Ltd","12/08/2022","low-overspend",NA,6,1,1
"142","2627009","LINCOLNSHIRE","East Midlands","Individual owned",5,"Protea Care 2 Limited","18/08/2021","low-overspend","low-outsourcing",17,3,1
"143","2629073","CALDERDALE","Yorkshire and The Humber","Individual owned",1,"Restorative Social Care Services Ltd","11/03/2021","high-overspend",NA,3,1,1
"144","SC454901","NOTTINGHAMSHIRE","East Midlands","Investment owned",5,"Keys BR Limited","20/11/2012",NA,"high-outsourcing",2,1,1
"145","2558682","SHROPSHIRE","West Midlands","Local Authority",2,"Shropshire Council","14/02/2020","high-overspend",NA,8,4,1
"146","2563216","NORTH EAST LINCOLNSHIRE","Yorkshire and The Humber","Local Authority",4,"North East Lincolnshire Council","21/11/2019","high-overspend",NA,8,2,1
"147","SC066428","LANCASHIRE","North West","Investment owned",5,"ROC Northwest Limited ","01/03/2006","low-overspend",NA,6,1,1
"148","SC414516","DERBYSHIRE","East Midlands","Individual owned",3,"Blue Mountain Homes Ltd","28/07/2010","high-overspend",NA,5,2,1
"149","2596897","GATESHEAD","North East","Local Authority",3,"Gateshead Council","02/07/2020",NA,"low-outsourcing",9,2,1
"150","2664249","EAST SUSSEX","South East","Individual owned",2,"Sussex Children's Care LTD","21/12/2021","high-overspend",NA,5,1,1
"151","2666161","LINCOLNSHIRE","East Midlands","Investment owned",6,"Compass Childrens Homes Ltd","13/05/2022","low-overspend","low-outsourcing",17,3,1
"152","2667592","NOTTINGHAMSHIRE","East Midlands","Corporate owned",2,"Homes 2 inspire","13/01/2022",NA,"high-outsourcing",2,1,1
"153","SC055153","LANCASHIRE","North West","Corporate owned",3,"Thunderbolt Mobile Limited","23/12/2003","low-overspend",NA,6,1,1
"154","SC059717","WILTSHIRE","South West","Corporate owned",6,"Five Rivers Child Care Limited","29/03/2007","low-overspend",NA,3,1,1
"155","SC417031","DURHAM","North East","Investment owned",4,"Pathways Care Group","03/12/2010",NA,"low-outsourcing",15,6,1
"156","2613829","NOTTINGHAMSHIRE","East Midlands","Individual owned",4,"Abbey Green Therapeutic Children's Services Ltd","15/02/2021",NA,"high-outsourcing",2,1,1
"157","1159385","SHROPSHIRE","West Midlands","Investment owned",4,"Cambian Childcare Ltd","14/06/2016","high-overspend",NA,8,4,1
"158","1257182","BARNET","London","Individual owned",2,"Curam Domi Solutions Ltd","24/08/2017",NA,"high-outsourcing",6,1,1
"159","2484055","LINCOLNSHIRE","East Midlands","Investment owned",4,"The Place Young People's Company","21/08/2018","low-overspend","low-outsourcing",17,3,1
"160","SC036732","NOTTINGHAMSHIRE","East Midlands","Local Authority",8,"Nottinghamshire County Council","07/02/2003",NA,"high-outsourcing",2,1,1
"161","SC033642","NEWCASTLE UPON TYNE","North East","Local Authority",6,"Newcastle City Council","27/02/2003","low-overspend","low-outsourcing",11,4,1
"162","SC033840","MIDDLESBROUGH","North East","Local Authority",9,"Middlesbrough Borough Council","29/04/2003","high-overspend",NA,6,2,1
"163","SC062536","DERBYSHIRE","East Midlands","Local Authority",6,"Derbyshire County Council","20/01/2005","high-overspend",NA,5,2,1
"164","2564415","LANCASHIRE","North West","Investment owned",4,"Sandcastle Care Ltd","01/05/2020","low-overspend",NA,6,1,1
"165","2567557","MIDDLESBROUGH","North East","Local Authority",2,"Middlesbrough Borough Council","04/03/2020","high-overspend",NA,6,2,1
"166","2538285","LANCASHIRE","North West","Individual owned",6,"Union House Nw Ltd","26/11/2019","low-overspend",NA,6,1,1
"167","2540927","LINCOLNSHIRE","East Midlands","Investment owned",3,"Esland North Limited","24/07/2019","low-overspend","low-outsourcing",17,3,1
"168","1223681","LANCASHIRE","North West","Investment owned",3,"Sandcastle Care Ltd","14/04/2016","low-overspend",NA,6,1,1
"169","2646001","CALDERDALE","Yorkshire and The Humber","Investment owned",6,"Compass Childrens Homes Ltd","25/04/2022","high-overspend",NA,3,1,1
"170","2646995","CALDERDALE","Yorkshire and The Humber","Individual owned",3,"Restorative Social Care Services Ltd","20/06/2022","high-overspend",NA,3,1,1
"171","2648208","LANCASHIRE","North West","Investment owned",1,"Esland North Limited","08/10/2021","low-overspend",NA,6,1,1
"172","SC039673","LANCASHIRE","North West","Local Authority",6,"Lancashire County Council","19/08/2003","low-overspend",NA,6,1,1
"173","SC039689","LANCASHIRE","North West","Local Authority",6,"Lancashire County Council","14/11/2003","low-overspend",NA,6,1,1
"174","1263129","EAST SUSSEX","South East","Investment owned",6,"Compass Childrens Homes Ltd","06/11/2017","high-overspend",NA,5,1,1
"175","SC044692","NOTTINGHAMSHIRE","East Midlands","Local Authority",4,"Nottinghamshire County Council","04/05/2005",NA,"high-outsourcing",2,1,1
"176","2570084","DERBYSHIRE","East Midlands","Individual owned",1,"Consistent Quality Support Ltd","11/12/2020","high-overspend",NA,5,2,1
"177","2671361","WILTSHIRE","South West","Individual owned",2,"Solent Childcare LTD","07/03/2022","low-overspend",NA,3,1,1
"178","SC035137","DURHAM","North East","Local Authority",3,"Durham County Council","04/09/2003",NA,"low-outsourcing",15,6,1
"179","SC035459","LANCASHIRE","North West","Local Authority",6,"Lancashire County Council","03/11/2003","low-overspend",NA,6,1,1
"180","SC466284","NOTTINGHAMSHIRE","East Midlands","Third sector",7,"The Caldecott Foundation Limited","05/12/2013",NA,"high-outsourcing",2,1,1
"181","SC031490","EAST SUSSEX","South East","Local Authority",7,"East Sussex County Council","11/08/2003","high-overspend",NA,5,1,1
"182","SC033723","LEEDS","Yorkshire and The Humber","Local Authority",5,"Leeds City Council","17/07/2003",NA,"low-outsourcing",4,1,1
"183","SC033805","BARNET","London","Local Authority",6,"London Borough of Barnet","06/10/2004",NA,"high-outsourcing",6,1,1
"184","SC034686","DURHAM","North East","Local Authority",5,"Durham County Council","05/09/2003",NA,"low-outsourcing",15,6,1
"185","2673338","LANCASHIRE","North West","Individual owned",2,"Theracare Homes Limited","06/04/2022","low-overspend",NA,6,1,1
"186","2673339","NOTTINGHAMSHIRE","East Midlands","Corporate owned",3,"Homes 2 inspire","28/04/2022",NA,"high-outsourcing",2,1,1
"187","SC020606","SHROPSHIRE","West Midlands","Investment owned",3,"Keys Nhcc Ltd","06/08/2001","high-overspend",NA,8,4,1
"188","SC020607","SHROPSHIRE","West Midlands","Investment owned",3,"Keys Nhcc Ltd","06/08/2001","high-overspend",NA,8,4,1
"189","SC456846","CAMBRIDGESHIRE","East of England","Investment owned",3,"Cambian Childcare Ltd","25/02/2013","low-overspend",NA,17,3,1
"190","SC457430","HARTLEPOOL","North East","Investment owned",3,"Cambian Childcare Ltd","21/12/2012",NA,"low-outsourcing",6,2,1
"191","2688209","DURHAM","North East","Corporate owned",2,"ROC Family Support Ltd","30/06/2022",NA,"low-outsourcing",15,6,1
"192","2690357","DERBYSHIRE","East Midlands","Individual owned",3,"Blue Mountain Homes Ltd","17/06/2022","high-overspend",NA,5,2,1
"193","SC007608","DURHAM","North East","Individual owned",3,"Pear Tree Projects Limited","30/06/2001",NA,"low-outsourcing",15,6,1
"194","2556340","NOTTINGHAMSHIRE","East Midlands","Corporate owned",2,"Homes 2 inspire","14/10/2019",NA,"high-outsourcing",2,1,1
"195","2590726","LANCASHIRE","North West","Investment owned",2,"Sandcastle Care Ltd","14/07/2020","low-overspend",NA,6,1,1
"196","2623130","DORSET","South West","Investment owned",3,"Beaufort care Group","22/12/2020","high-overspend",NA,10,4,1
"197","2624251","DURHAM","North East","Local Authority",3,"Durham County Council","12/03/2021",NA,"low-outsourcing",15,6,1
"198","SC035477","LANCASHIRE","North West","Local Authority",3,"Lancashire County Council","11/12/2003","low-overspend",NA,6,1,1
"199","SC035648","DURHAM","North East","Local Authority",38,"Durham County Council","04/09/2003",NA,"low-outsourcing",15,6,1
"200","2655041","WILTSHIRE","South West","Individual owned",3,"Direct Care Childrens Homes Ltd","30/11/2021","low-overspend",NA,3,1,1
"201","2589392","LANCASHIRE","North West","Investment owned",3,"Horizon Care and Education Group Limited","01/05/2020","low-overspend",NA,6,1,1
"202","SC059755","WILTSHIRE","South West","Corporate owned",5,"Five Rivers Child Care Limited","03/02/2004","low-overspend",NA,3,1,1
"203","1274846","CAMBRIDGESHIRE","East of England","Individual owned",6,"Parkview Care (Broadstairs) Limited","28/06/2018","low-overspend",NA,17,3,1
"204","1278968","LANCASHIRE","North West","Local Authority",4,"Lancashire County Council","10/08/2018","low-overspend",NA,6,1,1
"205","2555505","LINCOLNSHIRE","East Midlands","Individual owned",6,"Aspiration House Limited","01/04/2020","low-overspend","low-outsourcing",17,3,1
"206","SC439882","DERBYSHIRE","East Midlands","Local Authority",6,"Derbyshire County Council","31/01/2012","high-overspend",NA,5,2,1
"207","SC441865","NOTTINGHAMSHIRE","East Midlands","Third sector",3,"Shyne Together Limited","29/07/2012",NA,"high-outsourcing",2,1,1
