"","URN","Local.authority","Sector_merge","Places","Organisation","Registration.date","overspend_category","outsourcing_category","matched"
"78","1278708","NORTH NORTHAMPTONSHIRE","Corporate owned",1,"Homes 2 Inspire Limited","27/07/2018",NA,NA,1
"79","1280629","STAFFORDSHIRE","Investment owned",3,"Cambian Childcare Limited","01/08/2018",NA,NA,1
"80","2484441","STOKE ON TRENT","Local Authority",2,"Stoke On Trent City Council","06/08/2018",NA,NA,1
"81","2490729","STAFFORDSHIRE","Investment owned",3,"Horizon Care and Education Group Limited","11/06/2019",NA,NA,1
"82","2502314","SHROPSHIRE","Investment owned",3,"Cambian Childcare Limited","29/01/2019","high-overspend",NA,1
"83","2503031","DUDLEY","Individual owned",3,"PCF Residential Childcare Ltd","30/01/2019","low-overspend",NA,1
"84","2504494","LEICESTERSHIRE","Individual owned",4,"Inspirations Leicestershire Limited","20/02/2019","low-overspend",NA,1
"85","2506101","ISLINGTON","Investment owned",5,"Area Camden Limited ","28/03/2019",NA,NA,1
"86","2508153","BLACKPOOL","Investment owned",2,"Sandcastle Care Ltd","05/02/2019",NA,NA,1
"87","2508456","STAFFORDSHIRE","Investment owned",3,"Unity Residential Care Services Limited","24/04/2019",NA,NA,1
"88","2509298","WAKEFIELD","Investment owned",7,"Witherslack Group","05/03/2019",NA,NA,1
"89","2509670","STOCKPORT","Individual owned",4,"Crystal Care Solutions Limited","28/03/2019",NA,"low-outsourcing",1
"90","2510737","SEFTON","Individual owned",2,"Pelican Care Group Ltd","17/05/2019","high-overspend",NA,1
"91","2517184","DURHAM","Corporate owned",2,"Roc Family Support Ltd","21/03/2019",NA,"low-outsourcing",1
"92","2526004","CHESHIRE EAST","Individual owned",6,"Homes for Support Limited","24/04/2019",NA,NA,1
"93","2531755","KIRKLEES","Investment owned",3,"Sandcastle Care Ltd","20/08/2019",NA,NA,1
"94","2536967","KENT","Local Authority",3,"Kent County Council","24/12/2019",NA,NA,1
"95","2538785","SHROPSHIRE","Third sector",7,"Action for Children","01/10/2019","high-overspend",NA,1
"96","2539752","OXFORDSHIRE","Investment owned",4,"Keys Care Limited","16/04/2020",NA,NA,1
"97","2542024","MANCHESTER","Corporate owned",2,"Proactive Care (manchester) ltd","30/08/2019",NA,NA,1
"98","2542813","HALTON","Investment owned",1,"Cambian Childcare Limited","27/09/2019","high-overspend",NA,1
"99","2547847","CHESHIRE WEST AND CHESTER","Local Authority",2,"Cheshire West And Chester Council","06/05/2020",NA,NA,1
"100","2552727","SUFFOLK","Corporate owned",4,"Care Focus Limited","02/12/2019",NA,NA,1
"101","2557141","BEXLEY","Individual owned",4,"D & J Care Services-Residential Ltd","13/07/2020",NA,NA,1
"102","2557603","LEICESTERSHIRE","Individual owned",4,"Inspirations Leicestershire Limited","27/10/2019","low-overspend",NA,1
"103","2559019","REDBRIDGE","Corporate owned",5,"Woodford Children's Services Limited","01/11/2019",NA,"high-outsourcing",1
"104","2562675","WOLVERHAMPTON","Individual owned",2,"Hazelmont Social Care Limited","15/01/2020",NA,NA,1
"105","2563544","LANCASHIRE","Corporate owned",3,"Meadows Care Limited","20/02/2020","low-overspend",NA,1
"106","2565231","STAFFORDSHIRE","Investment owned",3,"Unity Residential Care Services Limited","26/03/2020",NA,NA,1
"107","2566238","CROYDON","Individual owned",3,"Jamores Limited","18/02/2020","low-overspend",NA,1
"108","2567039","PLYMOUTH","Investment owned",3,"South West Childcare Services","10/01/2020",NA,NA,1
"109","2567267","BRENT","Individual owned",4,"Champion Children (NW London) Limited","18/03/2020",NA,"high-outsourcing",1
"110","2570055","STAFFORDSHIRE","Investment owned",3,"Esland North Limited","25/08/2020",NA,NA,1
"111","2573144","STAFFORDSHIRE","Investment owned",2,"Horizon Care and Education Group Limited","04/05/2020",NA,NA,1
"112","2576409","STAFFORDSHIRE","Investment owned",5,"Compass Childrens Homes Limited","13/05/2020",NA,NA,1
"113","2577168","LANCASHIRE","Individual owned",4,"Gracewells Care Ltd","04/05/2020","low-overspend",NA,1
"114","2578675","SURREY","Investment owned",4,"Compass Childrens Homes Limited","07/09/2020",NA,NA,1
"115","2585139","LIVERPOOL","Individual owned",2,"Tressell Homes Ltd","22/06/2020",NA,NA,1
"116","2586943","STAFFORDSHIRE","Investment owned",4,"Horizon Care and Education Group Limited","22/06/2020",NA,NA,1
"117","2587315","WORCESTERSHIRE","Local Authority",4,"Herefordshire and Worcestershire Health and Care NHS Trust","01/11/2020",NA,NA,1
"118","2589771","KINGSTON UPON HULL","Local Authority",2,"Hull City Council","29/04/2020",NA,NA,1
"119","2590732","LANCASHIRE","Investment owned",2,"Sandcastle Care Ltd","09/07/2020","low-overspend",NA,1
"120","2591033","NOTTINGHAM","Individual owned",4,"Bfg Together Limited","23/06/2020",NA,NA,1
"121","2591643","STAFFORDSHIRE","Individual owned",3,"Albrighton Care Limited","05/01/2021",NA,NA,1
"122","2591854","EAST SUSSEX","Individual owned",5,"J & R Care Limited","21/08/2020","high-overspend",NA,1
"123","2592030","KENT","Individual owned",4,"Carlar Care Limited","22/06/2020",NA,NA,1
"124","2592035","WIRRAL","Individual owned",4,"Apex Childrens Services Ltd","09/06/2020",NA,NA,1
"125","2592531","SOMERSET","Corporate owned",3,"1848 Ltd","01/07/2020",NA,NA,1
"126","2592846","CALDERDALE","Individual owned",2,"Laska Care And Education Ltd","19/10/2020","high-overspend",NA,1
"127","2593032","DERBYSHIRE","Investment owned",3,"Smooth Stone Care & Education Ltd","09/07/2020","high-overspend",NA,1
"128","2593071","LEICESTER","Corporate owned",3,"Changing Lives Care Group Ltd","18/09/2020",NA,NA,1
"129","2593095","REDBRIDGE","Third sector",3,"Barnardo's","07/05/2020",NA,"high-outsourcing",1
"130","2596008","EAST SUSSEX","Corporate owned",2,"Anderida Adolescent Care Ltd","13/08/2020","high-overspend",NA,1
"131","2597734","WOLVERHAMPTON","Individual owned",5,"Horizon Transitional Care Limited","29/09/2020",NA,NA,1
"132","2598205","KINGSTON UPON HULL","Local Authority",1,"Hull City Council","09/07/2020",NA,NA,1
"133","2599480","STOKE ON TRENT","Investment owned",4,"Cambian Childcare Limited","15/09/2020",NA,NA,1
"134","2600541","WORCESTERSHIRE","Corporate owned",3,"Solace for Children Limited","10/09/2020",NA,NA,1
"135","2605554","WEST SUSSEX","Individual owned",5,"Child First Limited","16/12/2020",NA,NA,1
"136","2608195","LANCASHIRE","Corporate owned",2,"Hexagon Care Services Ltd","03/11/2020","low-overspend",NA,1
"137","2608666","OXFORDSHIRE","Investment owned",4,"Witherslack Group","24/02/2021",NA,NA,1
"138","2612115","STAFFORDSHIRE","Investment owned",4,"Horizon Care and Education Group Limited","08/09/2021",NA,NA,1
"139","2612347","NOTTINGHAMSHIRE","Individual owned",2,"Abbey Green Therapeutic Children's Services Ltd","17/05/2021",NA,"high-outsourcing",1
"140","2613627","CALDERDALE","Corporate owned",1,"Hexagon Care Services Ltd","23/12/2020","high-overspend",NA,1
"141","2613849","WEST SUSSEX","Investment owned",3,"Compass Childrens Homes Limited","11/02/2021",NA,NA,1
"142","2619265","LANCASHIRE","Individual owned",2,"Coastal Quality Care Ltd","09/02/2021","low-overspend",NA,1
"143","2620184","SANDWELL","Individual owned",3,"Blossom Care Group Limited","13/08/2021",NA,NA,1
"144","2620698","STAFFORDSHIRE","Individual owned",4,"Beacon Childcare Ltd","01/04/2021",NA,NA,1
"145","2621119","WIGAN","Investment owned",1,"Cambian Childcare Limited","23/04/2021","high-overspend",NA,1
"146","2623004","BOLTON","Investment owned",1,"Cambian Childcare Limited","01/03/2021",NA,"low-outsourcing",1
"147","2623962","DURHAM","Local Authority",3,"Durham County Council","01/03/2021",NA,"low-outsourcing",1
"148","2624223","HARTLEPOOL","Investment owned",9,"Huntercombe Young People Ltd","04/03/2021",NA,"low-outsourcing",1
"149","2624723","DORSET","Local Authority",1,"Dorset Council","08/03/2021","high-overspend",NA,1
"150","2630934","DERBYSHIRE","Investment owned",5,"Aspris Children's Services Limited","05/03/2021","high-overspend",NA,1
"151","2633498","WOLVERHAMPTON","Individual owned",2,"Care Perspectives Limited","08/03/2021",NA,NA,1
"152","2633617","DERBYSHIRE","Investment owned",2,"Cambian Childcare Limited","24/05/2021","high-overspend",NA,1
"153","2634397","LANCASHIRE","Individual owned",1,"XYP Childcare Limited","27/03/2021","low-overspend",NA,1
"154","2634624","LEICESTERSHIRE","Investment owned",1,"Esland North Limited","20/05/2021","low-overspend",NA,1
"155","2634800","BLACKPOOL","Investment owned",1,"Sandcastle Care Ltd","01/06/2021",NA,NA,1
"156","2635062","LINCOLNSHIRE","Investment owned",3,"Esland North Limited","20/05/2021","low-overspend","low-outsourcing",1
"157","2636494","SURREY","Individual owned",6,"Ashford Children's Care Limited","05/07/2021",NA,NA,1
"158","2636743","HARINGEY","Individual owned",3,"Family First Care Services Ltd","08/07/2021","high-overspend",NA,1
"159","2638487","LANCASHIRE","Individual owned",4,"New Horizons nw ltd","01/07/2021","low-overspend",NA,1
"160","2640245","WARRINGTON","Corporate owned",1,"Continuum Support - Care Services Ltd","19/07/2021",NA,NA,1
"161","2649739","WARRINGTON","Investment owned",1,"Esland North Limited","17/03/2022",NA,NA,1
"162","2654906","KENT","Individual owned",2,"Aspire Care and Education Services Ltd","26/08/2021",NA,NA,1
"163","2655345","DERBY","Investment owned",3,"Horizon Care and Education Group Limited","10/01/2022",NA,"high-outsourcing",1
"164","2656902","LEICESTERSHIRE","Individual owned",3,"Footsteps to Futures Limited","27/09/2021","low-overspend",NA,1
"165","2672877","CUMBRIA","Investment owned",4,"North Lakes Children's Service Limited","02/03/2022",NA,NA,1
"166","SC001531","LEEDS","Third sector",7,"Catholic Care (Diocese of Leeds)","01/04/2002",NA,"low-outsourcing",1
"167","SC004429","WARWICKSHIRE","Third sector",5,"Action for Children","31/01/1994",NA,NA,1
"168","SC005040","STAFFORDSHIRE","Corporate owned",4,"The Partnership Of Care Today","27/01/2000",NA,NA,1
"169","SC005204","HALTON","Investment owned",6,"Keys Child Care Limited","11/08/2000","high-overspend",NA,1
"170","SC005553","OLDHAM","Corporate owned",5,"Dalepeak Limited","01/06/1999",NA,"low-outsourcing",1
"171","SC008269","STOKE ON TRENT","Corporate owned",3,"The Partnership Of Care Today","22/12/2000",NA,NA,1
"172","SC008274","STOKE ON TRENT","Individual owned",1,"Searchlight Care Services Ltd","18/04/2001",NA,NA,1
"173","SC010090","LANCASHIRE","Investment owned",4,"Partners in Care Limited","21/12/2001","low-overspend",NA,1
"174","SC014848","WEST SUSSEX","Individual owned",6,"Cornerways Children's Services Limited","01/07/2001",NA,NA,1
"175","SC020611","SHROPSHIRE","Investment owned",3,"Keys Nhcc Ltd","06/08/2001","high-overspend",NA,1
"176","SC023637","KENT","Investment owned",8,"Compass Children's Homes Kent Limited","19/07/2001",NA,NA,1
"177","SC023740","KENT","Individual owned",3,"Ethelbert Specialist Homes Limited","17/07/2001",NA,NA,1
"178","SC023743","KENT","Individual owned",3,"Ethelbert Specialist Homes Limited","26/06/2001",NA,NA,1
"179","SC023746","KENT","Individual owned",3,"Ethelbert Specialist Homes Limited","26/06/2001",NA,NA,1
"180","SC025695","CAMDEN","Third sector",8,"St Christopher's Fellowship","03/12/2001","low-overspend",NA,1
"181","SC025740","STOCKPORT","Third sector",6,"The Together Trust","23/10/1997",NA,"low-outsourcing",1
"182","SC028526","EAST SUSSEX","Corporate owned",2,"Anderida Adolescent Care Ltd","01/05/2002","high-overspend",NA,1
"183","SC028536","EAST SUSSEX","Corporate owned",2,"Anderida Adolescent Care Ltd","01/05/2002","high-overspend",NA,1
"184","SC030677","WEST BERKSHIRE","Local Authority",6,"West Berkshire Council","11/11/2004",NA,NA,1
"185","SC030713","WOKINGHAM","Local Authority",5,"Wokingham Borough Council","13/05/2004",NA,NA,1
"186","SC030797","KENT","Individual owned",9,"Ethelbert Specialist Homes Limited","01/10/2002",NA,NA,1
"187","SC031220","CALDERDALE","Investment owned",6,"Compass Childrens Homes Limited","24/09/2002","high-overspend",NA,1
"188","SC032315","BRIGHTON AND HOVE","Local Authority",5,"Brighton & Hove City Council","05/08/2003",NA,NA,1
"189","SC033611","BLACKPOOL","Local Authority",7,"Blackpool Borough Council","31/10/2003",NA,NA,1
"190","SC033657","LEEDS","Local Authority",5,"Leeds City Council","10/07/2003",NA,"low-outsourcing",1
"191","SC033808","WAKEFIELD","Local Authority",7,"Wakefield Metropolitan District Council","08/09/2003",NA,NA,1
"192","SC034158","CUMBRIA","Local Authority",4,"Cumbria County Council","28/07/2003",NA,NA,1
"193","SC034313","KINGSTON UPON HULL","Local Authority",6,"Hull City Council","01/04/2003",NA,NA,1
"194","SC034419","NORFOLK","Local Authority",4,"Norfolk County Council","10/09/2003",NA,NA,1
"195","SC034441","KIRKLEES","Local Authority",8,"Kirklees Council","01/10/2003",NA,NA,1
"196","SC034849","CHESHIRE WEST AND CHESTER","Local Authority",3,"Cheshire West And Chester Council","01/04/2002",NA,NA,1
"197","SC034922","ROCHDALE","Local Authority",4,"Rochdale Metropolitan Borough Council","19/09/2003",NA,"low-outsourcing",1
"198","SC034944","LANCASHIRE","Investment owned",4,"Keys Child Care Limited","06/03/2003","low-overspend",NA,1
"199","SC035155","CALDERDALE","Local Authority",7,"Calderdale Metropolitan Borough Council","09/09/2003","high-overspend",NA,1
"200","SC035387","STOCKTON ON TEES","Local Authority",6,"Stockton On Tees Borough Council","10/02/2003",NA,NA,1
"201","SC035439","LANCASHIRE","Local Authority",6,"Lancashire County Council","03/11/2003","low-overspend",NA,1
"202","SC035971","ST HELENS","Local Authority",4,"St Helens Metropolitan Borough Council","27/01/2003",NA,NA,1
"203","SC036186","DERBYSHIRE","Local Authority",8,"Derbyshire County Council","11/12/2003","high-overspend",NA,1
"204","SC036304","SEFTON","Local Authority",2,"Sefton Metropolitan Borough Council","25/03/2003","high-overspend",NA,1
"205","SC037181","SEFTON","Corporate owned",2,"After Care Nw Limited","08/11/2002","high-overspend",NA,1
"206","SC037248","BARKING AND DAGENHAM","Individual owned",6,"Holibrook House Limited","13/11/2003",NA,NA,1
"207","SC038961","LEICESTER","Local Authority",10,"Leicester City Council","31/03/2003",NA,NA,1
"208","SC039025","LEICESTER","Local Authority",6,"Leicester City Council","31/03/2003",NA,NA,1
"209","SC039070","STOCKPORT","Local Authority",5,"Stockport Metropolitan Borough Council","30/10/2003",NA,"low-outsourcing",1
"210","SC039559","HALTON","Local Authority",4,"Halton Borough Council","15/09/2003","high-overspend",NA,1
"211","SC040132","CORNWALL","Local Authority",4,"Cornwall Council","15/07/2003",NA,NA,1
"212","SC040266","WIGAN","Local Authority",5,"Wigan Council","15/08/2003","high-overspend",NA,1
"213","SC040437","BLACKBURN WITH DARWEN","Local Authority",5,"Blackburn with Darwen Borough Council","25/11/2003",NA,NA,1
"214","SC040491","CORNWALL","Local Authority",5,"Cornwall Council","15/07/2003",NA,NA,1
"215","SC040633","SURREY","Local Authority",5,"Surrey County Council","05/12/2003",NA,NA,1
"216","SC040982","WIGAN","Local Authority",5,"Wigan Council","30/05/2003","high-overspend",NA,1
"217","SC041887","CROYDON","Local Authority",7,"London Borough of Croydon","27/11/2003","low-overspend",NA,1
"218","SC042978","LINCOLNSHIRE","Local Authority",5,"Lincolnshire County Council","24/11/2003","low-overspend","low-outsourcing",1
"219","SC046524","SHEFFIELD","Local Authority",10,"Sheffield City Council","20/10/2003",NA,NA,1
"220","SC052599","MILTON KEYNES","Local Authority",10,"Milton Keynes Council","26/03/2004",NA,NA,1
"221","SC059037","KENT","Investment owned",4,"Esland South Limited","08/03/2004",NA,NA,1
"222","SC059180","DURHAM","Investment owned",5,"Cambian Childcare Limited","31/03/2004",NA,"low-outsourcing",1
"223","SC059753","WILTSHIRE","Corporate owned",2,"Five Rivers Child Care Limited","03/02/2004","low-overspend",NA,1
"224","SC061005","BRADFORD","Local Authority",6,"City of Bradford Metropolitan District Council","24/06/2004","high-overspend",NA,1
"225","SC061158","CUMBRIA","Investment owned",1,"Radical Services Limited","20/05/2004",NA,NA,1
"226","SC061878","GLOUCESTERSHIRE","Investment owned",4,"Headway Adolescent Resources Limited","15/10/2004",NA,NA,1
"227","SC062074","HEREFORDSHIRE","Investment owned",4,"Keys Education Ltd","23/12/2004","high-overspend",NA,1
"228","SC062785","WALTHAM FOREST","Individual owned",9,"Mig House Residential Care Home Ltd","28/02/2005",NA,NA,1
"229","SC063498","ST HELENS","Corporate owned",1,"Crossway Services Limited","17/01/2005",NA,NA,1
"230","SC063767","HAMPSHIRE","Individual owned",4,"New Forest Care","22/06/2005",NA,NA,1
"231","SC064027","STAFFORDSHIRE","Investment owned",6,"Delam Care Limited","03/05/2005",NA,NA,1
"232","SC064454","BARNSLEY","Investment owned",2,"Dove Adolescent Services Limited","28/12/2005",NA,NA,1
"233","SC064931","DARLINGTON","Individual owned",8,"Pear Tree Projects Limited","22/09/2005",NA,NA,1
"234","SC065552","BRADFORD","Local Authority",6,"City of Bradford Metropolitan District Council","02/11/2005","high-overspend",NA,1
"235","SC066127","NORTHUMBERLAND","Investment owned",4,"Cambian Childcare Limited","13/10/2006",NA,"low-outsourcing",1
"236","SC066183","BIRMINGHAM","Investment owned",3,"Cambian Childcare Limited","04/01/2006","low-overspend",NA,1
"237","SC066187","BIRMINGHAM","Investment owned",3,"Cambian Childcare Limited","06/02/2006","low-overspend",NA,1
"238","SC066393","BIRMINGHAM","Investment owned",3,"Cambian Childcare Limited","18/01/2006","low-overspend",NA,1
"239","SC066917","STAFFORDSHIRE","Investment owned",2,"Oracle Care Limited","30/05/2006",NA,NA,1
"240","SC067151","BRISTOL","Local Authority",5,"Bristol City Council","08/05/2006",NA,NA,1
"241","SC067757","BUCKINGHAMSHIRE","Individual owned",4,"Benjamin UK Ltd","21/09/2006",NA,NA,1
"242","SC068179","EAST SUSSEX","Local Authority",4,"East Sussex County Council","25/08/2006","high-overspend",NA,1
"243","SC069474","EAST SUSSEX","Corporate owned",3,"Anderida Adolescent Care Ltd","12/03/2007","high-overspend",NA,1
"244","SC356817","OLDHAM","Individual owned",4,"Lifetime Opportunities Ltd","09/07/2007",NA,"low-outsourcing",1
"245","SC358349","CALDERDALE","Corporate owned",1,"Time-Out Childrens Homes Limited","26/03/2007","high-overspend",NA,1
"246","SC359818","WOLVERHAMPTON","Investment owned",4,"Cambian Childcare Limited","30/03/2007",NA,NA,1
"247","SC361789","CORNWALL","Local Authority",6,"Cornwall Council","05/10/2007",NA,NA,1
"248","SC363268","HAMPSHIRE","Individual owned",3,"New Forest Care","09/01/2008",NA,NA,1
"249","SC363398","BLACKPOOL","Investment owned",4,"Sandcastle Care Ltd","29/01/2008",NA,NA,1
"250","SC366090","SHROPSHIRE","Investment owned",2,"Reflexion Care Group Limited","07/01/2008","high-overspend",NA,1
"251","SC368637","KENT","Corporate owned",3,"Channels & Choices Kent LLP","25/01/2008",NA,NA,1
"252","SC369840","STOKE ON TRENT","Local Authority",2,"Stoke On Trent City Council","01/04/2008",NA,NA,1
"253","SC369857","BOLTON","Local Authority",5,"Bolton Metropolitan Borough Council","18/06/2008",NA,"low-outsourcing",1
"254","SC370703","SURREY","Local Authority",20,"Surrey County Council","02/05/2008",NA,NA,1
